Department,Revenue,COGS,Shipping,Salary,Taxes,Type,Date
HR,476836,257611,15267,45000,25806,BUDGET,22/4/2022
HR,168385,150497,21608,45000,42609,BUDGET,11/8/2023
HR,395972,227804,17647,45000,15541,BUDGET,1/1/2021
HR,258823,168874,27574,45000,41185,BUDGET,9/7/2021
HR,297775,266464,28710,45000,41408,BUDGET,25/7/2025
HR,303861,147007,14111,45000,39911,BUDGET,17/3/2023
HR,342289,221334,18716,45000,46563,BUDGET,26/4/2021
HR,485777,88765,10256,45000,6622,BUDGET,29/4/2024
HR,474032,115215,27149,45000,37921,BUDGET,10/2/2025
HR,234415,54835,28370,45000,13519,BUDGET,9/1/2023
HR,449652,153196,23249,45000,9090,BUDGET,30/6/2025
HR,352377,256744,19309,45000,21032,BUDGET,29/5/2023
HR,368799,102224,7125,45000,13577,BUDGET,8/11/2021
HR,254697,286726,19153,45000,9806,BUDGET,24/11/2025
HR,323992,87131,15535,45000,18081,BUDGET,23/9/2024
HR,114397,286257,29519,45000,6524,BUDGET,22/2/2025
HR,131024,179695,12673,45000,43356,BUDGET,26/2/2022
HR,193848,83591,23030,45000,24956,BUDGET,8/1/2022
HR,165953,158319,14064,45000,32529,BUDGET,29/6/2024
HR,126641,207504,26969,45000,42219,BUDGET,27/3/2021
HR,400638,234402,5235,45000,31657,BUDGET,30/3/2024
HR,373237,141267,21907,45000,44964,BUDGET,15/5/2021
HR,449044,251245,10373,45000,24933,BUDGET,31/5/2025
HR,399985,234943,14184,45000,9853,BUDGET,23/11/2024
HR,132217,149657,17199,45000,11645,BUDGET,3/9/2022
HR,257164,296009,5077,45000,25609,BUDGET,11/8/2024
HR,463186,285365,24216,45000,22685,BUDGET,4/2/2024
HR,327897,292348,24729,45000,21241,BUDGET,20/2/2022
HR,221172,246617,10560,45000,25079,BUDGET,11/6/2023
HR,330785,298683,28624,45000,16053,BUDGET,20/6/2021
HR,307869,226615,13007,45000,13646,BUDGET,23/6/2024
HR,276089,284677,28321,45000,27116,BUDGET,27/6/2021
HR,251836,54809,22988,45000,43243,BUDGET,17/3/2024
HR,337549,89298,16479,45000,13070,BUDGET,14/11/2021
HR,117955,269536,23574,45000,7711,BUDGET,17/11/2024
HR,313945,261791,16111,45000,46360,BUDGET,30/11/2025
HR,174460,217658,7674,45000,10319,BUDGET,12/10/2025
HR,151991,96540,23410,45000,34975,BUDGET,29/10/2023
HR,187235,71732,6062,45000,14984,BUDGET,28/4/2022
HR,213429,171790,25119,45000,11722,BUDGET,2/2/2023
HR,382502,86187,28325,45000,40737,BUDGET,11/7/2024
HR,205864,75289,10240,45000,6645,BUDGET,15/7/2021
HR,202795,233401,24029,45000,28393,BUDGET,12/6/2025
HR,159101,204865,15954,45000,18859,BUDGET,29/6/2023
HR,219180,105393,20374,45000,40111,BUDGET,13/3/2025
HR,125351,107091,8391,45000,22029,BUDGET,30/5/2024
HR,106801,297666,5793,45000,30064,BUDGET,30/10/2025
HR,129592,267841,9432,45000,14524,BUDGET,2/9/2021
HR,368093,61023,28275,45000,31737,BUDGET,15/9/2022
HR,440976,172402,13659,45000,23922,BUDGET,11/4/2023
HR,224862,280907,18623,45000,18490,BUDGET,21/12/2021
HR,281372,164821,10870,45000,9757,BUDGET,1/2/2022
HR,339833,100990,23935,45000,9425,BUDGET,23/5/2023
HR,177575,92918,13150,45000,12973,BUDGET,2/11/2021
HR,258823,74285,10984,45000,36463,BUDGET,29/10/2024
HR,239788,53709,19178,45000,44224,BUDGET,14/9/2021
HR,132097,116040,9621,45000,46914,BUDGET,8/12/2021
HR,101542,203487,27550,45000,33921,BUDGET,24/12/2025
HR,290710,219160,29818,45000,29160,BUDGET,15/2/2023
HR,379163,88413,8596,45000,7717,BUDGET,22/6/2022
HR,281408,76962,16314,45000,38595,BUDGET,3/3/2021
HR,166234,254625,27126,45000,42904,BUDGET,19/3/2025
HR,406063,251412,18917,45000,11150,BUDGET,17/5/2023
HR,194704,155570,5009,45000,25607,BUDGET,22/11/2023
HR,116364,56970,6917,45000,12083,BUDGET,11/10/2023
HR,364512,223416,13717,45000,48082,BUDGET,27/10/2021
HR,465177,55569,25609,45000,6750,BUDGET,24/9/2025
IT,365517,194528,15161,60000,44952,BUDGET,5/4/2024
IT,276615,83307,6605,60000,49039,BUDGET,16/12/2022
IT,241564,264532,22055,60000,22368,BUDGET,12/2/2021
IT,278031,56949,26951,60000,39888,BUDGET,28/2/2025
IT,419602,142193,27797,60000,16664,BUDGET,5/7/2024
IT,444894,156357,13258,60000,12311,BUDGET,22/7/2022
IT,187922,130219,21748,60000,41368,BUDGET,26/11/2021
IT,189930,95002,15147,60000,16918,BUDGET,24/10/2025
IT,428761,210775,6761,60000,42641,BUDGET,28/10/2022
IT,404119,243752,14765,60000,18221,BUDGET,29/9/2023
IT,400657,64489,28930,60000,41397,BUDGET,5/8/2024
IT,189780,105123,8228,60000,49623,BUDGET,18/8/2025
IT,319295,50404,14865,60000,40954,BUDGET,11/12/2023
IT,322866,233808,11168,60000,25908,BUDGET,4/7/2022
IT,437497,87744,26852,60000,35987,BUDGET,17/6/2024
IT,277247,152023,19277,60000,45411,BUDGET,21/11/2022
IT,472370,178778,7048,60000,42334,BUDGET,4/9/2023
IT,121689,152468,19382,60000,5338,BUDGET,30/8/2025
IT,251222,127709,23381,60000,36987,BUDGET,4/1/2025
IT,240734,285418,15589,60000,24694,BUDGET,21/1/2023
IT,297392,76790,15488,60000,41244,BUDGET,3/7/2021
IT,173847,160133,12561,60000,29861,BUDGET,16/7/2022
IT,460260,111813,11469,60000,27419,BUDGET,29/7/2023
IT,456902,265863,25673,60000,41220,BUDGET,17/6/2023
IT,127350,95106,13162,60000,21725,BUDGET,11/5/2024
IT,478496,169156,20679,60000,18087,BUDGET,22/10/2022
IT,179459,204458,14446,60000,14130,BUDGET,6/4/2025
IT,154748,65485,17394,60000,42430,BUDGET,8/8/2021
IT,252617,175911,25103,60000,29791,BUDGET,24/8/2025
IT,337027,220883,16104,60000,11960,BUDGET,6/7/2025
IT,200235,73959,24123,60000,17342,BUDGET,9/10/2022
IT,308124,192709,17999,60000,24541,BUDGET,18/12/2025
IT,477812,138092,15161,60000,20328,BUDGET,18/2/2021
IT,212856,103682,16302,60000,29058,BUDGET,23/1/2025
IT,389336,268441,11371,60000,33470,BUDGET,31/7/2025
IT,203150,187326,7116,60000,32935,BUDGET,6/11/2025
IT,123289,162816,11283,60000,34378,BUDGET,29/8/2023
IT,286141,131317,13389,60000,5481,BUDGET,4/2/2025
IT,309141,274786,15478,60000,40840,BUDGET,27/7/2021
IT,451732,174454,24282,60000,34373,BUDGET,30/7/2024
IT,445757,102638,16475,60000,32952,BUDGET,28/6/2022
IT,218015,78295,28954,60000,32306,BUDGET,9/3/2021
IT,139954,188013,10788,60000,39008,BUDGET,25/3/2025
IT,416242,237872,16260,60000,25587,BUDGET,13/5/2025
IT,497827,122474,25618,60000,48861,BUDGET,17/10/2023
IT,320156,213121,23520,60000,26874,BUDGET,17/9/2024
IT,128251,200159,11371,60000,28570,BUDGET,3/8/2022
IT,363206,298592,11359,60000,25491,BUDGET,6/8/2025
IT,458896,89081,13472,60000,7443,BUDGET,13/1/2021
IT,430594,109494,6970,60000,43890,BUDGET,29/1/2025
IT,103267,293806,26204,60000,40796,BUDGET,17/7/2024
IT,156958,69870,15160,60000,8797,BUDGET,2/6/2021
IT,188668,71949,16157,60000,34402,BUDGET,5/6/2024
IT,109435,77532,21389,60000,36821,BUDGET,29/3/2023
IT,291766.5,96427,15554,60000,15093,BUDGET,9/11/2022
IT,409439,175917,11565,60000,16046,BUDGET,23/10/2024
Marketing,265656,264357,17891,55000,20343,BUDGET,2/4/2021
Marketing,418717,108141,5846,55000,46874,BUDGET,23/6/2023
Marketing,472771,238871,22022,55000,45738,BUDGET,8/10/2021
Marketing,118888,123963,16954,55000,30712,BUDGET,11/10/2024
Marketing,151293,168012,19043,55000,17175,BUDGET,17/4/2023
Marketing,125945,188186,17910,55000,43258,BUDGET,22/8/2022
Marketing,330229,78016,10126,55000,6990,BUDGET,27/12/2021
Marketing,384821,248713,6531,55000,24097,BUDGET,7/2/2022
Marketing,104000,148142,6342,55000,39072,BUDGET,22/1/2024
Marketing,301660,190932,15568,55000,28752,BUDGET,29/1/2024
Marketing,172991,218152,11981,55000,49409,BUDGET,3/5/2021
Marketing,445186,87626,26526,55000,33769,BUDGET,4/11/2024
Marketing,319963,173961,22660,55000,41980,BUDGET,20/9/2021
Marketing,120056,212993,23117,55000,20708,BUDGET,10/12/2022
Marketing,373318,273777,23755,55000,10895,BUDGET,6/9/2025
Marketing,351451,274117,13152,55000,36195,BUDGET,3/4/2022
Marketing,178781,226517,29579,55000,46124,BUDGET,23/4/2023
Marketing,155609,86395,13172,55000,15395,BUDGET,13/2/2022
Marketing,218834,73960,10122,55000,10299,BUDGET,2/1/2022
Marketing,224019,269930,5666,55000,12783,BUDGET,31/1/2021
Marketing,354079,223420,26508,55000,44915,BUDGET,21/3/2021
Marketing,200386,215888,24019,55000,45809,BUDGET,5/5/2024
Marketing,348710,80355,27195,55000,37409,BUDGET,26/9/2021
Marketing,159163,264323,23588,55000,29354,BUDGET,24/4/2025
Marketing,262049,125880,17977,55000,29557,BUDGET,16/11/2023
Marketing,109540,70309,6828,55000,6279,BUDGET,5/10/2023
Marketing,266807,156884,12804,55000,29762,BUDGET,17/10/2024
Marketing,263852.5,205576,19369,55000,38536,BUDGET,16/8/2022
Marketing,453151,181456,27422,55000,33529,BUDGET,5/12/2023
Marketing,242038,280590,20034,55000,9971,BUDGET,14/12/2021
Marketing,473632,177016,16613,55000,15682,BUDGET,3/1/2023
Marketing,431593,250244,14310,55000,36889,BUDGET,5/3/2024
Marketing,457429,178148,8086,55000,42011,BUDGET,22/3/2022
Marketing,295967,103413,6120,55000,39020,BUDGET,6/5/2025
Marketing,151934,144456,15789,55000,33145,BUDGET,30/4/2025
Marketing,214548,284340,11767,55000,35678,BUDGET,28/12/2022
Marketing,226141,292804,27890,55000,33734,BUDGET,26/1/2022
Marketing,182745,188311,20524,55000,29027,BUDGET,24/7/2024
Marketing,358067,206542,18013,55000,39393,BUDGET,20/10/2021
Marketing,468035,99922,19060,55000,26172,BUDGET,4/9/2024
Operations,300968,125745,5419,52000,18350,BUDGET,18/4/2025
Operations,303664,187162,16397,52000,27297,BUDGET,12/12/2025
Operations,297459,123477,7891,52000,17254,BUDGET,12/9/2025
Operations,467654,275318,27877,52000,39622,BUDGET,2/8/2021
Operations,406955,51252,17790,52000,13942,BUDGET,23/12/2024
Operations,167215,105284,22447,52000,40822,BUDGET,27/2/2023
Operations,215294,143105,8266,52000,15380,BUDGET,25/1/2021
Operations,182986,60916,12984,52000,31665,BUDGET,11/3/2024
Operations,213632,70559,18503,52000,29917,BUDGET,28/3/2022
Operations,311810,63843,11229,52000,31838,BUDGET,16/5/2022
Operations,105486,147239,22334,52000,46131,BUDGET,19/5/2025
Operations,320552,175899,7472,52000,30522,BUDGET,3/10/2022
Operations,105237,155787,22844,52000,24846,BUDGET,3/12/2022
Operations,331915,252846,15789,52000,17182,BUDGET,6/12/2025
Operations,297459,228998,12041,52000,7573,BUDGET,23/12/2023
Operations,170031,289564,20745,52000,13666,BUDGET,20/11/2021
Operations,297459,73833,17941,52000,19596,BUDGET,16/9/2023
Operations,267280,89764,25417,52000,6762,BUDGET,29/12/2024
Operations,129375,70159,24901,52000,36480,BUDGET,15/1/2023
Operations,104014,182396,11376,52000,25530,BUDGET,9/5/2021
Operations,303687,291080,29025,52000,7482,BUDGET,22/5/2022
Operations,226131,189487,17819,52000,20358,BUDGET,17/8/2023
Operations,352764,155616,18046,52000,44986,BUDGET,9/2/2023
Operations,365564,231415,14911,52000,29938,BUDGET,7/1/2021
Operations,326507,99407,5117,52000,22327,BUDGET,11/5/2023
Operations,432460,194188,5055,52000,30150,BUDGET,14/10/2021
Operations,203481,222502,25590,52000,23449,BUDGET,9/8/2022
Operations,184076,69963,12863,52000,6341,BUDGET,12/8/2025
Operations,316139,128752,7590,52000,25059,BUDGET,21/2/2023
Operations,231373,243928,23271,52000,15457,BUDGET,19/1/2021
Operations,214585,251152,10951,52000,9263,BUDGET,11/6/2024
Operations,242202,297940,18946,52000,31212,BUDGET,24/6/2025
Operations,492942,111529,22260,52000,21438,BUDGET,15/11/2022
Operations,465890,272864,8900,52000,5126,BUDGET,14/4/2021
Operations,284078,284286,6906,52000,24816,BUDGET,16/3/2022
Sales,250262,136188,25527,50000,7708,BUDGET,20/8/2021
Sales,351492,100612,23378,50000,16372,BUDGET,16/2/2024
Sales,171180,218513,8687,50000,20850,BUDGET,10/1/2025
Sales,274358,273306,9018,50000,17112,BUDGET,17/1/2025
Sales,116964,228677,18918,50000,8300,BUDGET,27/1/2023
Sales,226020,120390,7243,50000,25581,BUDGET,6/6/2025
Sales,170313,203772,28333,50000,32696,BUDGET,4/3/2022
Sales,260196,106178,13837,50000,5822,BUDGET,5/5/2023
Sales,193008,103932,23944,50000,45760,BUDGET,17/5/2024
Sales,118070,216981,23777,50000,49327,BUDGET,21/5/2021
Sales,456441,198172,10415,50000,20646,BUDGET,24/5/2024
Sales,466326,68017,25128,50000,7106,BUDGET,10/11/2023
Sales,170640,69198,24096,50000,34077,BUDGET,29/11/2024
Sales,291232,185230,17607,50000,38572,BUDGET,22/9/2023
Sales,123049,218964,18746,50000,47880,BUDGET,17/7/2023
Sales,127663,267776,11988,50000,22771,BUDGET,23/10/2023
Sales,103051,143396,10750,50000,26566,BUDGET,9/4/2022
Sales,295004,242958,5922,50000,23023,BUDGET,12/4/2025
Sales,459523,77712,14333,50000,24978,BUDGET,5/8/2023
Sales,289407,105479,27412,50000,26520,BUDGET,19/7/2025
Sales,288751,201456,19594,50000,24063,BUDGET,4/11/2023
Sales,138756,165765,11943,50000,11819,BUDGET,5/10/2024
Sales,452996,128859,12943,50000,33865,BUDGET,28/8/2022
Sales,289407,222015,7219,50000,32856,BUDGET,17/12/2023
Sales,186672,288964,14795,50000,47460,BUDGET,10/7/2022
Sales,218324,295897,18429,50000,40772,BUDGET,13/7/2025
Sales,310677,51015,27700,50000,28236,BUDGET,23/7/2023
Sales,239407,92318,7336,50000,14650,BUDGET,25/5/2025
Sales,185999,223880,9670,50000,28150,BUDGET,10/11/2024
Sales,238877,134665,8812,50000,31399,BUDGET,27/11/2022
