Department,Date,Budget_Revenue,Actual_Revenue,Budget_COGS,Actual_COGS,Budget_Shipping,Actual_Shipping,Budget_Salary,Actual_Salary,Budget_Taxes,Actual_Taxes
HR,22/4/2022,476836,427535.72,257611,247867.78,15267,24266.21,45000,45000,25806,17321.57
HR,11/8/2023,168385,165858.61,150497,160565,21608,10908.58,45000,45000,42609,11998.68
HR,1/1/2021,395972,339936.61,227804,208460.71,17647,29415.57,45000,45000,15541,10913.48
HR,9/7/2021,258823,276597.78,168874,188591.37,27574,14329.98,45000,45000,41185,4555.54
HR,25/7/2025,297775,295358.62,266464,248370.71,28710,26583.32,45000,45000,41408,5339.01
HR,17/3/2023,303861,321865.78,147007,155013.27,14111,19556.59,45000,45000,39911,20302.63
HR,26/4/2021,342289,296538.34,221334,203195.59,18716,29542.39,45000,45000,46563,3756.79
HR,29/4/2024,485777,492397.07,88765,85291.68,10256,39998.98,45000,45000,6622,51004.39
HR,10/2/2025,474032,411512.74,115215,115898.75,27149,39862.99,45000,45000,37921,52247.38
HR,9/1/2023,234415,247582.15,54835,62647.78,28370,22623.29,45000,45000,13519,27575.33
HR,30/6/2025,449652,385936.66,153196,154276.02,23249,33315.24,45000,45000,9090,35092.29
HR,29/5/2023,352377,365019.25,256744,273294.06,19309,27161.83,45000,45000,21032,3832.93
HR,8/11/2021,368799,340798.68,102224,116826.57,7125,23525.73,45000,45000,13577,23693.01
HR,24/11/2025,254697,251359.98,286726,296256.61,19153,25089.93,45000,45000,9806,17455.04
HR,23/9/2024,323992,337836.33,87131,90775.52,15535,24314.16,45000,45000,18081,39286.33
HR,22/2/2025,114397,110963.34,286257,264468.21,29519,6462.59,45000,45000,6524,33333.14
HR,26/2/2022,131024,143837.12,179695,205293.5,12673,11551.94,45000,45000,43356,22856.45
HR,8/1/2022,193848,202878.65,83591,78649.18,23030,13654.74,45000,45000,24956,11056.56
HR,29/6/2024,165953,181883.56,158319,174270.66,14064,16357.83,45000,45000,32529,12801.65
HR,27/3/2021,126641,111462.03,207504,238439.42,26969,10006.22,45000,45000,42219,38280.03
HR,30/3/2024,400638,420150.03,234402,212030.24,5235,21447.5,45000,45000,31657,33916.2
HR,15/5/2021,373237,391033.24,141267,143478.64,21907,36014.81,45000,45000,44964,30547.37
HR,31/5/2025,449044,382784.29,251245,257323.05,10373,33706.48,45000,45000,24933,8434.31
HR,23/11/2024,399985,351717.63,234943,259564.37,14184,32733.83,45000,45000,9853,3189.6
HR,3/9/2022,132217,116665.47,149657,169631.53,17199,7228.48,45000,45000,11645,24605.41
HR,11/8/2024,257164,242282.33,296009,275427.95,5077,20066.77,45000,45000,25609,23475.3
HR,4/2/2024,463186,276597.78,285365,283952.13,24216,30387.98,45000,45000,22685,20857.48
HR,20/2/2022,327897,292404.93,292348,272678.36,24729,21741.21,45000,45000,21241,9386.29
